index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
117,BEYLİKDÜZÜ MİGROS DURAĞINA 5DK YÜRÜME İSKANLI LÜKS DİZAYNLI 3+1,Beylikdüzü, Barış Mahallesi,Konut,3+1,11-20,14,7. Kat,170,2,1,0,KombiDoğalgaz,970000
118,Ağaoğlu Eltes Gold Residence 20.kat Bahçesi Yanı 164m2,Ümraniye, Madenler Mahallesi,Konut,3+1,11-20,27,10-20,164,2,2,0,KombiDoğalgaz,1450000
119,MAYA RESIDENCE SATILIK BOĞAZ MANZARALI ULTRA LUKS PENTHOUSE,Beşiktaş, Etiler Mahallesi,Konut,5+1,11-20,5,5. Kat,500,4,1,1,Merkezi(PayÖlçer),62000000
120,Çekmeköy – Üsküdar Metro hattının Necip Fazıl Durağına 400 metre,Ümraniye, Necip Fazıl Mahallesi,Konut,3+1,11-20,8,1. Kat,135,2,3,0,KombiDoğalgaz,700000
121, BAHÇEŞEHİR 2.KISIM LÜKS GENİŞ KULLANIMLI SATILIK  3+1 DAİRE,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,3+1,2,5,Giriş,180,1,1,0,KombiDoğalgaz,835000
122, ESENYURT YEŞİLKENT MAH. 2+1 ARA KAT RESİDANS SATILIK DAİRE ,Esenyurt, Yeşilkent Mahallesi,Konut,2+1,0,18,7. Kat,105,1,1,1,KombiDoğalgaz,580000
123,MİMAROBA SATILIK DENİZ MANZARALI LÜKS 4+1 TRİPLEKS VİLLA ,Büyükçekmece, Mimaroba Mahallesi,Konut,4+1,5-10,3,Villa Tipi,328,2,2,0,KombiDoğalgaz,1350000
124, Başokur'dan Bahçelievler'de E5 Çok Yakın Sıfır 2+1 Fırsat Daire,Bahçelievler, Zafer Mahallesi,Konut,2+1,0,4,3. Kat,88,1,1,0,KombiDoğalgaz,580000
125, MARİN İNŞAATTAN BEYLİKDÜZÜ YAKUPLUDA 3+1 MERKEZİ KONUMLU DAİRE!!,Beylikdüzü, Yakuplu Mahallesi,Konut,3+1,2,5,4. Kat,130,2,1,0,KombiDoğalgaz,300000
126, Başokur'dan Bahçelievler'de E5 Çok Yakın Sıfır Fırsat Daire,Bahçelievler, Zafer Mahallesi,Konut,4+1,0,4,4. Kat,160,2,2,0,KombiDoğalgaz,780000
127,EMSALLERİNİN ÇOK ÇOK ÜSTÜNDE LÜX 3+1DAİREMİZ EN DİP FİYATTA SİZİN,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,1,8,3. Kat,130,1,1,0,KombiDoğalgaz,327000
128,ŞERİFALİ QUARTET 4 GARDEN PROJESİNDE 2+1 SATILIK DAİRE,Ümraniye, Site Mahallesi,Konut,2+1,3,13,9. Kat,75,1,1,0,Merkezi(PayÖlçer),830000
129,PRESTİJ PARK VATANDAŞLIĞA UYGUN 3+1 SATILIK DAİRE,Esenyurt, Zafer Mahallesi,Konut,3+1,2,16,4. Kat,174,2,1,0,Merkezi(PayÖlçer),990000
130,Başakşehir evvel İstanbul sitesinde satılık kelepir 4+1 daire,Başakşehir, Kayabaşı Mahallesi,Konut,4+1,4,2,1. Kat,180,3,3,0,YerdenIsıtma,1900000
131,DAKİK EMLAKTAN OVAYENİCE MAH SATILIK 10.000m² BESİCİLİK ÇİFTLİĞİ,Çatalca, Ovayenice Mahallesi,Konut,6+3,5-10,2,Giriş,10000,3,1,0,Sobalı,4650000
132, BEYLİKDÜZÜNDE BUTİK SİTE İÇİNDE KAPALI OTOPARKLI 3+1 LÜKS DAİRE,Beylikdüzü, Kavaklı Mahallesi,Konut,3+1,0,7,5. Kat,130,1,2,0,KombiDoğalgaz,240000
133, SARIYER MASLAK ECLİPSE LÜKS 2+1 SATILIK DAİRE,Sarıyer, Maslak Mahallesi,Konut,2+1,5-10,30,10-20,105,1,1,1,Merkezi(PayÖlçer),2650000
134,GÖKTAŞ YAPI'DAN HAFTANIN FIRSATI 3+1 130 M2 İSKANLI !!!,Esenyurt, Yunus Emre Mahallesi,Konut,3+1,5-10,4,4. Kat,135,1,1,0,KombiDoğalgaz,395000
135,GÖKTAŞ YAPI'DAN MÜKEMMEL KONUM'DA 3+1 150 M2 SİTE İÇİ!!!,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,3+1,5-10,8,Giriş,160,2,1,0,KombiDoğalgaz,850000
136, MASLAK MASHATTAN ORMAN MNZ 1+1  SATILIK DAİRE,Sarıyer, Maslak Mahallesi,Konut,1+1,5-10,30,8. Kat,75,1,1,1,Merkezi(PayÖlçer),1500000
137, ESENYURT ÖRNEK MAH. 1+1 SİTE İÇİNDE GÜVENLİKLİ SATILIK DAİRE ,Esenyurt, Örnek Mahallesi,Konut,1+1,5-10,7,5. Kat,65,1,1,1,Merkezi(PayÖlçer),310000
138,BAHÇELİEVLER DE 3+1 SATILIK DAİRE ,Bahçelievler, Soğanlı Mahallesi,Konut,3+1,11-20,5,Giriş,120,1,1,0,KombiDoğalgaz,560000
139,SARIYER MASLAK 42 1+1 SATILIK DAİRE  ,Sarıyer, Maslak Mahallesi,Konut,1+1,5-10,30,10-20,70,1,1,1,Merkezi(PayÖlçer),2550000
140,"Next House'dan, Göl ve Deniz Manzaralı,250M2,Özel Yapım Dubleks.",Küçükçekmece, Fatih Mahallesi,Konut,4+1,0,14,10-20,250,3,1,0,Merkezi(PayÖlçer),2600000
141,SANCAKTEPE'NİN YÜKSELEN YILDIZI YENİDOĞAN'DA MERKEZİ KONUMDA 2+1 ,Sancaktepe, Yunus Emre Mahallesi,Konut,2+1,0,6,2. Kat,95,1,2,0,KombiDoğalgaz,400000
142,YENİDOĞAN MERKEZDE ASANSÖRLÜ 2. KAT OTURUMA HAZIR DAİRE,Sancaktepe, Yenidoğan Mahallesi,Konut,2+1,3,4,2. Kat,100,1,1,0,KombiDoğalgaz,379000
143, ESENYURT ÜÇEVLER  MH. 2+1 95M² 1. KAT DAİRE,Esenyurt, Fatih Mahallesi,Konut,2+1,4,6,1. Kat,105,1,1,0,KombiDoğalgaz,330000
144,NOFT YAPIDAN SATILIK ÇİFT BALKONLU KOMBİLİ ÖN CEPHE DAİRE FIRSATI,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,2,6,1. Kat,110,1,1,0,KombiDoğalgaz,379000
145,NOFT YAPI'DAN SATILIK BALKONLU KOMBİLİ YÜKSEK GİRİŞ DAİRE FIRSATI,Esenyurt, Piri Reis Mahallesi,Konut,2+1,2,6,Giriş,100,1,1,0,KombiDoğalgaz,329000
146, ESENYURT DOGAN ARASLI BULVARI CAD. 1+1 SİTE İÇİNDE SATILIK DAİRE,Esenyurt, Bağlarçeşme Mahallesi,Konut,1+1,5-10,10,4. Kat,72,1,1,1,KombiDoğalgaz,345000
147,NOFT YAPI'DAN SATILIK ÇİFT TERASLI KOMBİLİ FERAH DAİRE FIRSATI,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,2,5,5. Kat,110,1,1,0,KombiDoğalgaz,369000
148,Satılık daire kadikoyde,Kadıköy, Rasimpaşa Mahallesi,Konut,2+1,20,5,4. Kat,90,1,1,0,KombiDoğalgaz,425000
149, ESENYURT CUMHURİYET MAH. 1+1 SATILIK DAİRE,Esenyurt, Piri Reis Mahallesi,Konut,1+1,5-10,14,3. Kat,70,1,1,1,Merkezi(PayÖlçer),350000
150,METROBÜSE 3 DK TEK DAİRE ÜZERİ 130 NET M2 3+1 EBEVEN BANYOLU !!!,Esenyurt, Güzelyurt Mahallesi,Konut,3+1,0,6,1. Kat,145,1,1,0,KombiDoğalgaz,562000
151,GÜVERCİN İNŞAAT'TAN 2+1 110 M2 KAÇIRILMAYACAK KUPON DAİRE !!!!!!,Esenyurt, Bağlarçeşme Mahallesi,Konut,2+1,0,5,3. Kat,110,1,1,0,KombiDoğalgaz,259000
152,MERKEZİ KONUMDA 3+1 EMSALSİZ KELEPİR DAİRE 165 M2 2.KAT ÖN CEPHE,Esenyurt, Örnek Mahallesi,Konut,3+1,0,5,2. Kat,165,1,1,0,KombiDoğalgaz,447000
153,GÜVERCİN YAPI FARKIYLA ŞİŞİRİLMEMİŞ FİYATLAR İLE 150M2 3+1 4.KAT,Esenyurt, Yenikent Mahallesi,Konut,3+1,2,5,4. Kat,150,1,1,0,KombiDoğalgaz,379000
154, YEŞİLKENT 2'DE VATANDAŞLIĞA UYGUN 5+1 SATILIK DAİRE,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,5+1,20,16,10-20,360,3,3,1,KombiDoğalgaz,1800000
155, ESENYURT PINAR MAH. SİTE İÇİNDE EŞYALI 1+1 SIFIR DAİRE ,Esenyurt, Pınar Mahallesi,Konut,1+1,0,14,3. Kat,90,1,1,1,Merkezi(PayÖlçer),280000
156,ESENYURT 3+1 ARA KAT 130 M2 YEŞİLKENT MAH. SATILIK DAİRE ,Esenyurt, Yeşilkent Mahallesi,Konut,3+1,0,5,3. Kat,145,1,1,0,KombiDoğalgaz,485000
157, Toki Menekşe Evleri-1'de 84m2 Marmaray'a Yakın 2+1 Satılık Daire,Küçükçekmece, Atakent Mahallesi,Konut,2+1,11-20,11,10-20,84,1,2,1,KombiDoğalgaz,740000
158,Başakşehir evvel İstanbul projesi satılık fırsat boş 3+1 daire ,Başakşehir, Kayabaşı Mahallesi,Konut,3+1,4,28,10-20,169,2,2,0,YerdenIsıtma,1749000
159, Bahçeşehir Tual'de 3+1 Çift Cephe Satılık Daire,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,3+1,5-10,27,3. Kat,180,2,1,1,Merkezi(PayÖlçer),1750000
160,Kayaşehir 19 bölgede satılık fırsat tapulu 2+1 boş daire ,Başakşehir, Kayabaşı Mahallesi,Konut,2+1,5-10,25,21-29,102,1,1,1,Merkezi(PayÖlçer),685000
161, ARMAĞANEVLERDE 23 NİSAN OKULU MEVKİİ 1+1 SATILIK DAİRE,Ümraniye, Armağanevler Mahallesi,Konut,1+1,5-10,3,Bahçe Katı,55,1,1,0,KombiDoğalgaz,235000
162, Bahçeşehir Tual'de 3+1 Satılık Daire,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,3+1,5-10,16,8. Kat,205,2,1,1,Merkezi(PayÖlçer),1720000
163,ACİL  SATILIK!  Yeni Mahalle'de 95m² 2+1 Satılık Lüks Daire,Silivri, Yeni Mahallesi,Konut,2+1,5-10,5,5. Kat,105,1,1,0,KombiDoğalgaz,545000
164,BEYLİKDÜZÜ BAŞKENT YAPI'DAN MERKEZİ LOKASYONDA ŞIK TASARIMLI 2+1,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,1,5,2. Kat,110,2,1,0,KombiDoğalgaz,299000
165,BEYLİKDÜZÜ BAŞKENT YAPI'DAN METROBÜSE 7DK FULL DEKORASYONLU 2+1,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,1,5,3. Kat,115,2,1,0,KombiDoğalgaz,469000
166," Başokur'dan Bakırköy,de Krediye Uygun 2+1 Fırsat Daire",Bakırköy, Sakızağacı Mahallesi,Konut,2+1,20,5,4. Kat,92,1,1,0,KombiDoğalgaz,448000
167,BİGA DAN SANCAKTEPEDE SATILIK ÖN CEPHE 3+1 ARAKAT DAİRE,Sancaktepe, Fatih Mahallesi,Konut,3+1,3,3,1. Kat,140,1,1,0,KombiDoğalgaz,450000
168,DEMİR İNŞAAT GAYRİMENKULDEN 50.YILDA 2+1 95m2 ARAKAT 3YILLIK,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,3,5,3. Kat,95,1,1,0,KombiDoğalgaz,570000
169, Yenibosna Çobançeşme mh  Fatih cd Yakın Konumda ,Bahçelievler, Yenibosna Merkez Mahallesi,Konut,2+1,5-10,4,4. Kat,80,1,1,0,KombiDoğalgaz,465000
170,GRİ`DEN MERCAN DA 2+1 BAHCE KATI DAİRE (60M2 BAHCE KULLANIMLI),Tuzla, Postane Mahallesi,Konut,2+1,0,3,Bahçe Katı,105,2,1,0,KombiDoğalgaz,1250000
171,GÜZELYALIDA AYNI BİNADA 2 ADET SATILIK 3+1DAİRELER...,Pendik, Güzelyalı Mahallesi,Konut,3+1,20,5,1. Kat,120,1,1,0,KombiDoğalgaz,357500
172,YALÇINTEPE RESİDENCE TEMİZ FERAH ÇİFT CEPHE SATILIK 1+1 DAİRE,Esenyurt, Koza Mahallesi,Konut,1+1,1,24,10-20,86,1,1,0,Merkezi(PayÖlçer),425000
173,ESENKENT PARKCİTY EVLERİ SİTESİ 144M2 HAVUZ ÖNÜ DEKORASYONLU 2+1,Esenyurt, Aşık Veysel Mahallesi,Konut,2+1,11-20,9,4. Kat,144,2,1,0,Merkezi(PayÖlçer),1100000
174,SIFIR  BAĞCILAR KİRAZLI MAH SİTE İÇERSİNDE 2+1 ARA KAT ,Bağcılar, Kirazlı Mahallesi,Konut,2+1,0,13,4. Kat,90,1,1,0,KombiDoğalgaz,720000
175,BEYAZ YAPI İNŞAAT'DAN 7+1  240M2  GENİŞ TERASLI SIFIR DUBLEX,Çekmeköy, Aydınlar Mahallesi,Konut,7+1,0,5,5. Kat,255,2,1,0,KombiDoğalgaz,865000
176,Esenler Birlik Mahallesi 135 m2 3+1 Satılık Daire,Esenler, Birlik Mahallesi,Konut,3+1,20,5,4. Kat,135,1,1,0,KombiDoğalgaz,457000
177,avcılar denizkosklerde satilik giriskati,Avcılar, Denizköşkler Mahallesi,Konut,2+1,20,5,Giriş,110,1,1,0,KombiDoğalgaz,250000
178,"Next House'dan, Siyavuşpaşa'da, 4+2, 190M2, Dubleks, Fırsat.",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,4+2,0,4,4. Kat,190,2,1,0,KombiDoğalgaz,1049000
179, Yenibosna  Zafer mh 2+1  Fuul+Fuul Lüx Daire,Bahçelievler, Yenibosna Merkez Mahallesi,Konut,2+1,20,4,1. Kat,100,1,1,0,KombiDoğalgaz,295000
180, SARAÇ EMLAKTAN 1+1 MÜKKEMMEL KREDİLİ SATILIK YÜKSEK GR,Bahçelievler, Zafer Mahallesi,Konut,1+1,5-10,5,Giriş,75,1,1,0,KombiDoğalgaz,239000
181, FATİH EMLAKTAN KREDİLİ 1+1 SATILIK YÜKSEK GİRİŞ,Bahçelievler, Zafer Mahallesi,Konut,1+1,5-10,5,Giriş,75,1,1,0,KombiDoğalgaz,239000
182,NOFT YAPI'DAN SATILIK ÇİFT BALKONLU ASANSÖRLÜ LÜKS 3+1 DAİRE !,Beylikdüzü, Kavaklı Mahallesi,Konut,3+1,0,6,1. Kat,140,2,1,0,KombiDoğalgaz,729000
183,ÇUKUROVA CADDESİNDE TERAS DAİRE 125 M KARE 2+1 SÜPER MANZARALI,Bayrampaşa, Kartaltepe Mahallesi,Konut,2+1,20,4,4. Kat,125,1,1,0,KombiDoğalgaz,275000
184, SAHİBİNDEN AYDINLI MERKEZDE PROJEDEN SATILIK YATIRIMLIK DAİRELER,Tuzla, Aydınlı Mahallesi,Konut,2+1,0,11,6. Kat,100,2,2,0,Merkezi(PayÖlçer),550000
185, SÜPER KONUMDA ZAFER MAH 3+1 120m SIFIR ARAKAT DAİRE,Bahçelievler, Zafer Mahallesi,Konut,3+1,0,4,3. Kat,130,1,1,0,KombiDoğalgaz,800000
186, ÇOBANÇEŞME MAH 2+1 SÜPER KONUMDA BAHÇE KATI,Bahçelievler, Çobançeşme Mahallesi,Konut,2+1,20,5,Bahçe Katı,90,1,1,0,KombiDoğalgaz,258000
187, Arnavutköy Ömerli'de Satılık 3+1 Daire,Arnavutköy, Ömerli Mahallesi,Konut,3+1,0,5,1. Kat,115,1,2,0,KombiDoğalgaz,750000
188,Sultangazi Cebeci 2+1 Satılık Daire,Sultangazi, Malkoçoğlu Mahallesi,Konut,2+1,5-10,5,Bahçe Katı,85,1,1,0,KombiDoğalgaz,220000
189, Başokur'dan Güneşli'de Konut Kredisine uygun 3+1 Fırsat Daire,Bağcılar, Güneşli Mahallesi,Konut,3+1,5-10,3,3. Kat,130,1,1,0,KombiDoğalgaz,530000
190,BEYLİKDÜZÜ KAVAKLI'DA VİLLA TADIN'DA 365 GÜN TATİL KEYFİ,Beylikdüzü, Kavaklı Mahallesi,Konut,2+1,0,4,1. Kat,185,2,1,0,KombiDoğalgaz,1250000
191, Pendik Sülüntepede Site İçerisinde SATILIK 1+1 Daire,Pendik, Sülüntepe Mahallesi,Konut,1+1,0,10,Bahçe Katı,70,1,1,1,Merkezi(PayÖlçer),345000
192,Fırsat Fiyat Düştü YT Üniversiteye Yakın Kredili Ultra Lüx Daire,Esenler, Davutpaşa Mahallesi,Konut,2+1,20,5,5. Kat,125,1,2,0,KombiDoğalgaz,465000
193,****ÇEKMEKÖY'DE TEK DAİRE FİYATINA 6+2 ÇİFT DAİRE FIRSATI****,Çekmeköy, Aydınlar Mahallesi,Konut,6+2,0,5,1. Kat,230,3,1,0,KombiDoğalgaz,755000
194,satılık dubleks,Küçükçekmece, Cumhuriyet Mahallesi,Konut,4+1,20,4,3. Kat,240,2,1,0,KombiDoğalgaz,550000
195, Başokur'dan Bahçelievler'de Sıfır 170 m2 LÜX 4+1 Dubleks Daire,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,4+1,0,4,4. Kat,170,2,1,0,KombiDoğalgaz,1200000
196,MEHMET AKIF MAH KULLANISLI FERAH DUBLEKS ,Küçükçekmece, Mehmet Akif Mahallesi,Konut,2+2,3,4,3. Kat,150,3,1,0,KombiDoğalgaz,565000
197," Başokur'dan Bahçelievler,de Sıfır Krediye Uygun 2+1 Fırsat Daire",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,0,4,Bahçe Katı,75,1,1,0,KombiDoğalgaz,365000
198, Atakent 1.Etap Tadilatlı 71m2 Kutlutaş'da 2+1 Satılık Daire,Küçükçekmece, Atakent Mahallesi,Konut,2+1,20,13,4. Kat,90,1,1,1,Merkezi(PayÖlçer),600000
199, EMLAK WORKS'DEN İST MARİNADA 1+1 SATILIK DENİZ MANZARALI DAİRE,Kartal, Kordonboyu Mahallesi,Konut,1+1,4,30,4. Kat,80,1,1,1,Merkezi(PayÖlçer),1700000
200,EMLAK WORKS'DEN KARTAL AKDAMAR SKY SUİTE'DE SATILIK 2+1,Kartal, Gümüşpınar Mahallesi,Konut,2+1,0,18,10-20,110,1,1,0,Merkezi(PayÖlçer),1250000
201,Sultangazi Cebeci 95 m2 2+1 Satılık Daire,Sultangazi, Malkoçoğlu Mahallesi,Konut,2+1,5-10,5,1. Kat,95,1,1,0,KombiDoğalgaz,525000
202,SATILIK DAIRE YUZYILDA,Bağcılar, 100. Yıl Mahallesi,Konut,2+1,20,4,2. Kat,125,1,1,0,DoğalgazSobalı,325000
203,Sultangazi Cebeci 110 m2 2+1 Sıfır Ara Kat Satılık Daire,Sultangazi, Malkoçoğlu Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,560000
204,Sultangazi Cebeci Tramvay Yolu Cadde Üzeri 1+1 Satılık Daire,Sultangazi, Malkoçoğlu Mahallesi,Konut,1+1,0,5,4. Kat,90,0,1,0,KombiDoğalgaz,380000
205,Sultangazi Cebeci 4+2 200 m2 Dubleks Satılık Daire,Sultangazi, Malkoçoğlu Mahallesi,Konut,4+2,0,5,Çatı Dubleks,215,2,2,0,KombiDoğalgaz,830000
206, Tamiş'den Kadıköy DoubleTree Otel Arkasında Geniş Ferah 3.Kat3+1,Kadıköy, Caferağa Mahallesi,Konut,3+1,20,4,3. Kat,135,1,2,0,KombiDoğalgaz,1350000
207,Deprem Yönetmeliğine Uygun Hem Oturumlk Hem Yatırımlk 2+1 Ara Kat,Ümraniye, Ihlamurkuyu Mahallesi,Konut,2+1,20,4,3. Kat,95,1,2,0,KombiDoğalgaz,359500
208,Beymax'tan Yunus Emre Mahallesinde Bahçe Katı 2+1 Satılık Daire,Sultangazi, Yunus Emre Mahallesi,Konut,2+1,5-10,5,Bahçe Katı,90,2,1,0,KombiDoğalgaz,319000
209,BİGA DAN SATILIK SANCAKTEPE DE 3+1 ÜST DUBLEKS,Sancaktepe, Akpınar Mahallesi,Konut,3+1,0,3,Çatı Katı,140,1,1,0,KombiDoğalgaz,520000
210, EMİR YAPI'DAN ADNAN KAHVECİ'DE SİTE İÇİ OTAPARKLI 3+1 DAİRE,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,5-10,12,5. Kat,180,2,2,1,KombiDoğalgaz,1450000
211, EMİR YAPI'DAN ADNAN KAHVECİDE SİTE İÇİ ULTRA LÜX 3+1 DAİRE.,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,5-10,12,4. Kat,180,2,2,1,KombiDoğalgaz,1450000
212,AYDINLAR MAHALLESİNDE İKİ BLOKLU BUTİK SİTE İÇİNDE 2+1 DAİRE,Çekmeköy, Aydınlar Mahallesi,Konut,2+1,4,6,1. Kat,80,1,2,0,KombiDoğalgaz,303000
213, شرکت ساختمانی باشکنت یاپی,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,4,8,3. Kat,135,2,1,0,MerkeziDoğalgaz,469000
214,"BAYRAMPAŞA MURATPAŞA MAH SATILIK DUBLEX 1200,000 TL",Bayrampaşa, Muratpaşa Mahallesi,Konut,3+2,5-10,5,5. Kat,190,2,1,0,KombiDoğalgaz,1200000
215,"BAYRAMPAŞA KARTALTEPE MAH SATILIK YÜKSEK GİRİŞ DAİRE 595,000 TL",Bayrampaşa, Kartaltepe Mahallesi,Konut,2+1,11-20,5,Giriş,95,1,1,0,KombiDoğalgaz,595000
216,Mehmet Akif mah 4 katlı 35m2hisseli 130m2 daire,Küçükçekmece, Mehmet Akif Mahallesi,Konut,2+1,11-20,4,4. Kat,135,2,1,0,KombiDoğalgaz,265000
217,"Next House'dan Merkez'de,E.Banyolu,3+1,160M2,Ultra,Lüx",Bahçelievler, Bahçelievler Mahallesi,Konut,3+1,0,4,3. Kat,160,2,1,0,KombiDoğalgaz,2119000
218," Başokur'dan Bahçelievler,de Yeni Binada 2+1 Fırsat Daire",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,4,5,Giriş,82,1,1,0,KombiDoğalgaz,530000
219,TURKUAZ'DAN LANSMAN ÖNCESİ FIRSATLAR %40 PEŞİNAT İLE 15 AY VADE,Beylikdüzü, Kavaklı Mahallesi,Konut,3+1,0,4,2. Kat,185,3,1,0,KombiDoğalgaz,1750000
220," İÇERENKÖY MERKEZDE GENÇ BİNADA 140M2 3+1 KOMBİLİ,TERS DUBLEKS",Ataşehir, İçerenköy Mahallesi,Konut,3+1,11-20,3,Giriş,140,2,2,0,KombiDoğalgaz,665000
221,smart home system 2+1 with pool view,Çekmeköy, Aydınlar Mahallesi,Konut,2+1,0,7,5. Kat,95,1,1,0,KombiDoğalgaz,429000
222,BİGA DAN SATILIK 4+1 ÖN CEPHE SIFIR ÜST DUBLEKS ,Sancaktepe, Fatih Mahallesi,Konut,4+1,0,3,Çatı Dubleks,150,2,1,0,KombiDoğalgaz,560000
223, Başokur'dan Bahçelievler'de İskanlı Sıfır 3+1 Arakat Daire,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,3+1,0,4,3. Kat,135,1,1,0,KombiDoğalgaz,785000
224," Başokur'dan Bahçelievler,de Deprem Yönetmeliğine Uygun 2+1 Daire",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,0,4,Giriş,75,1,1,0,KombiDoğalgaz,440000
225," Başokur'dan Bahçelievler Siyavuşpaşa,da 2+1 Fırsat Daire",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,2+1,20,5,Bahçe Katı,75,1,1,0,KombiDoğalgaz,235000
226,başakşehirde güvercintepede lüx daire,Başakşehir, Altınşehir Mahallesi,Konut,2+1,0,4,2. Kat,100,1,1,0,KombiDoğalgaz,525000
227,başakşehir güvercintepe lüx dublex,Başakşehir, Güvercintepe Mahallesi,Konut,4+2,0,4,Çatı Dubleks,170,2,2,0,KombiDoğalgaz,835000
228, Kartal Ahenk Konutları Balkonlu Satılık Komisyonsuz 105 m2 2+1,Kartal, Hürriyet Mahallesi,Konut,2+1,0,15,3. Kat,105,1,0,0,Merkezi(PayÖlçer),630000
229,Sancaktepe Merkezde Krediye Uygun Geniş Satılık 2+1 Ara Kat !!,Sancaktepe, Yenidoğan Mahallesi,Konut,2+1,2,4,2. Kat,110,1,1,0,KombiDoğalgaz,378500
230,"REM TÜRKİYE, TERAS ÇEKMEKÖY UZMANINDAN MÜTHİŞ 3+1 DAİRE",Çekmeköy, Cumhuriyet Mahallesi,Konut,3+1,5-10,9,3. Kat,166,2,1,0,KombiDoğalgaz,740000
231,"Lüks,Yeni,Metro,Çarşı,kullanışlı HEPSİ BİR ARADA 3+2 Dubleks",Ümraniye, Namık Kemal Mahallesi,Konut,3+2,4,4,4. Kat,165,3,1,0,KombiDoğalgaz,1490000
232,BEYLİKDÜZÜ komşu 1+1 balkonlu site içi ferrah SATILIK DAİRE,Esenyurt, Piri Reis Mahallesi,Konut,1+1,0,9,6. Kat,80,1,1,0,MerkeziDoğalgaz,450000
233,başakşehir güvercintepede kelepir bahçe katı,Başakşehir, Güvercintepe Mahallesi,Konut,2+1,2,4,Bahçe Katı,80,1,1,0,KombiDoğalgaz,260000
234,Hürriyet Mahallesi Satılık 2+1 90m2 Yüksek Giriş Daire,Gaziosmanpaşa, Hürriyet Mahallesi,Konut,2+1,0,3,Giriş,90,1,1,0,YerdenIsıtma,500000
235, MİMAR EMLAK'TAN MEHMET AKİFTE TEK DAİRE ÜZERİ 3+1 5.KAT,Küçükçekmece, Mehmet Akif Mahallesi,Konut,3+1,11-20,7,5. Kat,140,1,1,0,KombiDoğalgaz,290000
236, ZAFER MAH. 2+1 95 M2 KREDİLİ 3 YILLIK 1.KAT DAİRE,Bahçelievler, Zafer Mahallesi,Konut,2+1,3,5,1. Kat,95,1,1,0,KombiDoğalgaz,630000
237, FEVZİ ÇAKMAK MAH 2+1 KREDİYE UYGUN 3.KAT MERKEZİ KONUMDA,Bahçelievler, Fevzi Çakmak Mahallesi,Konut,2+1,20,3,3. Kat,90,1,1,0,KombiDoğalgaz,345000
238, SARAÇ EMLAK TAN 2 KAT 2+1 MASRAFSIZ DAİRE GÜNEY CEPE ,Bahçelievler, Zafer Mahallesi,Konut,2+1,20,5,2. Kat,90,1,1,0,KombiDoğalgaz,290000
239, SARAÇ EMLAK TAN 2+1 BAHÇE KATI KREDİYE UYGUN DEĞİL ,Bahçelievler, Zafer Mahallesi,Konut,2+1,20,5,Bahçe Katı,85,1,1,0,KombiDoğalgaz,155000
240," Başokur'dan Bahçelievler Siyavuşpaşa ,da Sıfır 3+1 Fırsat Daire",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,3+1,0,5,5. Kat,120,2,1,0,KombiDoğalgaz,960000
241, Başokur'dan Bahçelievler Yayla Yakını Krediye Uygun Fırsat Daire,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,1+1,20,5,Giriş,62,1,1,0,KombiDoğalgaz,255000
242, EYÜP ÇARŞIDA 4+1 160M2 1.KAT KREDİYE UYGUN LÜKS DAİRE,Eyüpsultan, Düğmeciler Mahallesi,Konut,4+1,20,3,1. Kat,180,1,1,0,KombiDoğalgaz,1050000
243, NC EMLAKDAN SATILIK DAİRE 2+1 DAİRE AYNI BİNADA 3 ADET DAİRE,Çekmeköy, Cumhuriyet Mahallesi,Konut,2+1,5-10,4,4. Kat,90,2,2,0,KombiDoğalgaz,450000
