index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
86,MARİN İNŞAATTAN  KAVAKLIDA SİTE İÇİ DİP FİYATA 2+1DAİRE FIRSATI! ,Esenyurt, Saadetdere Mahallesi,Konut,2+1,2,8,1. Kat,110,1,1,0,KombiDoğalgaz,225000
87," ELZEM YAPI'DAN MERKEZİ KONUMDA İSKANLI, GENİŞ 3+1 SATILIK ARAKAT",Sancaktepe, Safa Mahallesi,Konut,3+1,3,4,2. Kat,135,1,2,0,KombiDoğalgaz,435000
88,MARİN İNSAATTAN CUMHURİYETTE 2+1 METROBÜSE 5 DAİKA MESAFEDE DAİRE,Esenyurt, Cumhuriyet Mahallesi,Konut,2+1,2,5,1. Kat,110,1,1,0,KombiDoğalgaz,180000
89,ESENYURT MEHMET AKİFERSOY MAH. 1+1 RESİDENCE SATILIK DAİRE ,Esenyurt, Mehmet Akif Ersoy Mahallesi,Konut,1+1,0,11,5. Kat,55,1,1,1,KombiDoğalgaz,265000
90, İN WEST OF İSTANBUL AMAZİNG PRİCE GOOD LOCATİON İNCREDİBLE PRİCE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,0,15,6. Kat,130,1,2,0,KombiDoğalgaz,239000
91,GÖÇMEN MAHALLESİNDE 250 M² 4+2 BAĞIMSIZ HARİKA DUBLEKS KAÇMAZ!!!,Esenyurt, Çınar Mahallesi,Konut,4+2,5-10,4,3. Kat,270,2,1,0,KombiDoğalgaz,569000
92,ASANSÖRLÜ 4+2 BAKIMLI İSKANLI KELEPİR DUBLEKS BAĞIMSIZ GİRİŞLİ!!,Esenyurt, Selahaddin Eyyubi Mahallesi,Konut,4+2,5-10,4,3. Kat,225,2,1,0,KombiDoğalgaz,430000
93,ÇEKMEKÖY MİMAR SİNAN'DA SATILIK 3+1 ARA KAT DAİRE,Çekmeköy, Mimar Sinan Mahallesi,Konut,3+1,5-10,4,2. Kat,130,2,1,0,KombiDoğalgaz,647500
94, ELZEM YAPIDAN 2+1 ASANSÖRLÜ İSKANLI KAÇIRILMAYACAK DAİRE,Sancaktepe, Yunus Emre Mahallesi,Konut,2+1,4,4,2. Kat,90,1,1,0,KombiDoğalgaz,360000
95,şirinevler mah de satılık 174 m² -3+1- 3. kat daire  ,Bahçelievler, Şirinevler Mahallesi,Konut,3+1,11-20,5,Çatı Dubleks,174,2,2,0,KombiDoğalgaz,995000
96,KİRA ÖDER GİBİ EV SAHİBİ OLUN %50 PEŞİNAT %50 Sİ 60 AY 0 FAİZ,Esenyurt, Zafer Mahallesi,Konut,3+1,0,17,10-20,160,1,0,1,Merkezi(PayÖlçer),350000
97,"Next House'dan Yayla'da 2+1 90M2,Fırsat,Lüx,Daire",Bahçelievler, Soğanlı Mahallesi,Konut,2+1,0,5,Giriş,90,1,1,0,KombiDoğalgaz,589000
98, AVCILAR AMBARLI MAH'DA 5+1 DUBLEKS DAİRE,Avcılar, Ambarlı Mahallesi,Konut,5+1,5-10,3,Çatı Dubleks,235,2,1,0,KombiDoğalgaz,850000
99, Beylikdüzü Deniz İstanbul Mercan Konakları 2+1 Daire,Beylikdüzü, Marmara Mahallesi,Konut,2+1,0,6,Giriş,106,2,2,1,KombiDoğalgaz,1700000
100,BAĞCILAR BARBAROS MAH'DA 2+1 110 M2 SATILIK DAİRE,Bağcılar, Barbaros Mahallesi,Konut,2+1,20,7,5. Kat,120,1,1,0,KombiDoğalgaz,275000
101,MARİN İNŞAATTAN GÜZELYURTTA 2+1 TEMİZ GİYİNME ODALI DAİRE FIRSATI,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,1,5,1. Kat,110,1,1,0,KombiDoğalgaz,170000
102, BEYLİKDÜZÜ'NDE FULL DONANIMA SAHİP ŞIK TASARIMLI ULTRA LÜKS 3+1,Beylikdüzü, Beylikdüzü OSB Mahallesi,Konut,3+1,0,15,6. Kat,130,1,2,0,KombiDoğalgaz,240000
