,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
385,17,130,0,4,4,4,4,70,1,1,0,4,750000
386,33,179,0,2,4,3,9,30,1,1,0,4,625000
387,22,291,0,4,7,4,6,61,1,1,0,4,1100000
388,3,304,0,6,5,4,10,95,1,1,0,0,1480000
389,16,250,0,2,2,2,6,44,1,1,0,4,440000
390,22,291,0,2,5,3,16,14,1,1,0,4,720000
391,23,283,0,2,1,9,2,49,1,1,1,4,570000
392,22,22,0,2,4,3,9,44,1,1,0,4,665000
393,13,267,0,4,0,21,4,75,2,2,1,7,1050000
394,8,245,0,2,1,5,4,53,1,1,0,4,192000
395,15,150,0,5,2,3,21,79,2,2,0,4,1200000
396,31,125,0,4,7,3,2,61,2,1,0,4,455000
397,2,188,0,1,1,5,10,30,1,1,0,4,145000
398,33,92,0,2,0,4,9,44,1,1,0,4,849000
399,2,288,0,4,4,3,2,53,1,1,0,4,535000
400,8,70,0,4,1,7,11,67,2,1,0,4,284000
401,23,194,0,2,7,3,18,30,1,2,0,4,240000
402,8,70,0,2,7,3,17,34,2,1,0,8,210000
403,23,106,0,2,0,4,10,34,1,1,0,4,385000
404,6,266,0,2,4,3,2,34,1,1,0,4,279000
405,31,179,0,7,0,4,9,95,2,2,0,4,989999
406,24,169,0,6,2,3,21,97,2,2,0,4,786000
407,33,41,0,4,4,3,6,77,1,1,1,8,835000
408,33,290,0,2,4,4,22,44,1,1,0,4,480000
409,8,8,0,4,1,11,2,79,2,1,0,4,1235000
410,23,156,0,2,6,6,16,53,2,1,0,7,975000
411,25,268,0,6,4,5,9,104,5,1,0,8,1600000
412,28,240,0,4,2,4,2,67,1,2,0,4,425000
413,22,68,0,1,4,10,18,44,1,1,0,4,410000
414,8,245,0,4,0,5,2,74,2,1,0,4,789000
415,24,5,0,14,6,9,11,6,1,1,0,10,325000
416,23,283,0,2,5,8,4,39,1,1,1,4,580000
417,13,120,0,2,5,24,5,53,2,1,0,4,559000
418,13,120,0,4,3,3,18,83,1,1,0,7,840000
419,13,120,0,2,7,3,18,49,1,1,0,4,215000
420,3,219,0,4,4,4,10,61,1,1,0,4,450000
421,18,2,0,4,4,8,12,80,1,1,0,8,1265000
422,3,267,0,2,7,3,4,30,1,1,0,4,465000
423,8,8,0,4,4,10,10,79,1,1,0,4,700000
424,3,267,0,1,7,3,18,23,1,1,0,4,325000
425,31,222,0,1,0,2,16,8,1,1,0,4,215000
426,2,24,0,2,4,3,2,44,1,0,0,4,340000
427,16,265,0,2,4,3,16,34,1,1,0,4,335000
428,8,245,0,4,0,6,10,67,1,1,0,4,248000
429,24,79,0,2,7,10,13,42,2,1,0,8,945000
430,23,156,0,2,0,6,9,120,1,1,0,4,750000
431,31,125,0,2,2,4,18,39,1,1,0,4,280000
432,23,251,0,2,7,6,2,44,1,1,0,4,740000
433,23,127,0,6,6,8,9,83,2,1,0,7,1550000
434,3,219,0,7,4,4,10,100,2,1,0,4,900000
435,14,83,0,2,6,3,15,74,2,1,0,4,415000
436,13,26,0,11,7,3,9,114,3,1,0,4,1100000
437,14,204,0,4,2,3,16,23,1,1,0,4,245000
438,14,83,0,7,7,4,10,92,2,2,0,4,755000
439,3,41,0,4,4,3,6,61,1,1,0,8,940000
440,3,95,0,2,4,5,4,67,1,1,0,4,555000
441,22,22,0,4,7,3,9,87,2,2,0,4,1100000
442,17,14,0,2,4,3,9,39,1,1,0,4,435000
443,14,83,0,3,6,2,6,67,4,2,0,4,539000
444,31,17,0,2,0,4,2,30,2,2,0,4,530000
445,23,74,0,4,4,6,4,64,1,1,0,7,450000
446,6,294,0,4,4,4,6,61,1,1,0,4,290000
447,17,130,0,6,4,4,10,79,3,1,0,4,840000
448,21,33,0,1,6,3,16,14,1,1,0,4,230000
449,3,267,0,1,7,3,18,18,1,1,0,4,235000
450,20,277,0,2,4,5,9,34,1,1,0,4,279000
451,22,20,0,2,7,3,2,34,2,2,0,4,875000
452,31,77,0,2,0,4,18,30,1,1,0,4,260000
453,7,144,0,2,5,28,3,66,2,1,0,7,1565000
454,3,267,0,2,0,3,4,26,1,1,0,4,365000
455,3,267,0,2,0,3,4,26,1,1,0,4,365000
456,13,120,0,1,3,3,16,22,1,1,0,4,147500
457,24,262,0,6,6,3,9,83,2,1,0,4,610000
458,21,294,0,4,6,3,4,53,1,2,0,4,559000
459,13,26,0,2,3,4,4,53,1,1,0,4,285000
460,2,108,0,4,2,4,6,79,1,1,0,4,475000
