index,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
113, Esenyurt Kiptaş 2 Yenikent Mah.75 m2 Yüksek giriş 2+1 satılık, Esenyurt, Yenikent Mahallesi,2+1,11-20,11,Giriş,90,1,0,MerkeziDoğalgaz,315000
114,  BEYLİKDÜZÜ SİMA YAPI'DAN KİRA ÖDER GİBİ EV SAHİBİ OLMA FIRSATI!, Beylikdüzü, Cumhuriyet Mahallesi,2+1,0,4,Bahçe Katı,100,1,0,KombiDoğalgaz,129999
115,DURAKCAN YAPI'DAN MEHTERÇEŞME MAHALLESİN'DE ŞIK TASARIMLI 2+1, Esenyurt, Mehterçeşme Mahallesi,2+1,5-10,5,2. Kat,105,2,0,KombiDoğalgaz,350000
116, ÖMERPAŞA'DA OYUNCAK MÜZESİNE KOMŞU  GENİŞ 3+1 YENİLENMİŞ, Kadıköy, Erenköy Mahallesi,3+1,11-20,9,4. Kat,160,2,0,MerkeziDoğalgaz,2625000
117, AVCILAR MUSTAFA KEMAL PAŞA MAH BALKONLU 2+1 SATILIK YÜKSEK GİRİŞ, Avcılar, Mustafa Kemal Paşa Mahallesi,2+1,4,4,Giriş,75,1,0,KombiDoğalgaz,365000
118, Kelepir...!!!! Sancaktepe Yenidoganda Satılık 2+1 95m2 Daire, Sancaktepe, Yunus Emre Mahallesi,2+1,5-10,5,Giriş,100,1,0,KombiDoğalgaz,210000
119," TALİP YÖRÜKOĞLUN,DAN DEPREM SONRASI FULL BAHÇEKATI DAİRE", Güngören, Güneştepe Mahallesi,1+1,11-20,3,Giriş,80,1,0,KombiDoğalgaz,330000
120, KÜÇÜKKÖY FEVZİÇAKMAK MAHALLESİNDE SATILI YÜKSEK GİRİŞ DAİRE, Gaziosmanpaşa, Fevzi Çakmak Mahallesi,3+1,11-20,3,Giriş,105,1,0,KombiDoğalgaz,370000
121,KORU İÇİNDE BOĞAZ MANZARALI 270 M2 SATILIK DAİRE BEBEK, Beşiktaş, Bebek Mahallesi,4+1,20,4,1. Kat,270,2,0,MerkeziDoğalgaz,19000000
122,İSTANBUL MALTEPE'DE 50.000 TL'YE AYDA 2.500 TL KİRA ALMA FIRSATI, Maltepe, Aydınevler Mahallesi,3+1,0,5,3. Kat,130,1,0,KombiDoğalgaz,50000
123, KARTAL YUNUS MAHALLEDE MERKEZİ KONUMDA 2+1 SATILIK KELEPİR DAİRE, Kartal, Yunus Mahallesi,2+1,20,4,1. Kat,120,1,0,KombiDoğalgaz,262000
