,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
799,ŞİŞLİ HALİDE EDİPTE FIRSAT SATILIK DAİRE ,Şişli, Halide Edip Adıvar Mahallesi,Konut,2+1,11-20,11,3. Kat,110,1,1,0,KombiDoğalgaz,700000
800," BAHÇELİEVLER SOĞANLI MAH SIFIR 90,M2-2+1-4,KAT DAİRE",Bahçelievler, Soğanlı Mahallesi,Konut,2+1,0,5,4. Kat,100,1,2,0,KombiDoğalgaz,750000
801,Satilik 2 +1 daire sefakoy inonu mah,Küçükçekmece, İnönü Mahallesi,Konut,2+1,20,5,5. Kat,110,1,1,0,KombiDoğalgaz,232000
802,Sahibinden  ASANSÖRLÜ KAPALI OTOPARKLI  ŞEHİR MANZARALI DAİRE,Şişli, Gülbahar Mahallesi,Konut,2+1,11-20,9,8. Kat,95,1,1,0,KombiDoğalgaz,450000
803, BAHÇELİEVLERDE 4+1 160M2 MERKEZİ SİSTEM ÖN CEPHE İKİNCİ ARAKAT,Bahçelievler, Bahçelievler Mahallesi,Konut,4+1,20,4,2. Kat,160,1,2,0,MerkeziDoğalgaz,1750000
804,MİMARSİNAN MH DE ACİL SATILIK 3+1 ARAKAT FİRSAT DAİRE,Sultanbeyli, Mimar Sinan Mahallesi,Konut,3+1,0,6,2. Kat,115,1,1,0,KombiDoğalgaz,452000
805, Altıntepe'De İskanlı Balkonlu Ara Kat 2+1,Maltepe, Altıntepe Mahallesi,Konut,2+1,3,4,1. Kat,90,1,1,0,Merkezi(PayÖlçer),860000
806,  MİMAR EMLAK'TAN ATATÜRK MAH. KREDİLİ BALKONLU 2+1 YÜKSEK GİRİŞ,Küçükçekmece, Atatürk Mahallesi,Konut,2+1,0,4,Yüksek Giriş,90,1,1,0,KombiDoğalgaz,400000
807,Sefaköy İnönü mah satlık 4 + 1 dublex 614bin,Küçükçekmece, İnönü Mahallesi,Konut,4+1,2,4,3. Kat,170,2,1,0,KombiDoğalgaz,614000
808,BABİL EMLAKTAN ÇAĞLAYAN MAH SATILIK LÜX DAİRE,Kağıthane, Çağlayan Mahallesi,Konut,2+1,0,5,Kot 1 (-1). Kat,100,1,1,0,KombiDoğalgaz,420000
809,ACİLL ŞİŞLİ GULBAHAR MAH.GALATADERESİ CAD.Sİ PARALEL 1+1 SATILIK,Şişli, Gülbahar Mahallesi,Konut,1+1,5-10,8,1. Kat,70,1,1,0,KombiDoğalgaz,255000
810, Beylerbeyi'nde 3+1 Boğaz Manzaralı Bahçe Kullanımlı Daire,Üsküdar, Beylerbeyi Mahallesi,Konut,3+1,20,2,Bahçe Katı,160,1,1,0,KombiDoğalgaz,2500000
811,ENDER AZİM EMLAKTAN SATİLİK DAİRE KARTALTEPE /Bayrampaşa,Bayrampaşa, Kartaltepe Mahallesi,Konut,3+1,11-20,4,Kot 1 (-1). Kat,140,1,1,0,KombiDoğalgaz,575000
812,ACİLL BABİL EMLKTAN ÇAĞLAYAN MAH SATILIK LÜX DAİRE,Kağıthane, Çağlayan Mahallesi,Konut,2+1,5-10,6,Kot 2 (-2). Kat,115,2,1,0,KombiDoğalgaz,440000
813,SİYAVUŞPAŞADA SATILIK 3 + 1,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,3+1,20,6,2. Kat,120,1,2,0,DoğalgazSobalı,410000
814,KAYAŞEHİR NİDAPARK YAKUTTA 4+1 SATILIK DAİRE,Başakşehir, Kayabaşı Mahallesi,Konut,4+1,1,16,14. Kat,218,2,1,0,Merkezi(PayÖlçer),3761000
815,ev almak gayrimenkulden satılık ,Küçükçekmece, Atatürk Mahallesi,Konut,2+1,11-20,5,3. Kat,120,1,1,0,KombiDoğalgaz,350000
816,Sahibinden  ASANSÖRLÜ KAPALI OTOPARKLI  TERAS,Şişli, Gülbahar Mahallesi,Konut,2+1,11-20,9,9. Kat,75,1,1,0,KombiDoğalgaz,350000
817,SULTANBEYLİ MİMARSİNAN DA ACİL SATLİK DAİRE,Sultanbeyli, Mimar Sinan Mahallesi,Konut,3+1,1,6,3. Kat,100,1,1,0,KombiDoğalgaz,449000
818,ERPAYDAN MERKEZDE SATILIK 1.KAT DAİRE,Arnavutköy, Arnavutköy Merkez Mahallesi,Konut,2+1,11-20,5,1. Kat,110,1,1,0,KombiDoğalgaz,418000
819,VARYAP MERIDIAN SATILIK 1+0 STUDIO DAİRE,Ataşehir, Barbaros Mahallesi,Konut,Stüdyo,5-10,51,35. Kat,55,1,1,1,YerdenIsıtma,925000
820,Beylikdüzü Satılık Metrobüse Beş Dakika 3+1 Kelepir Daire,Beylikdüzü, Yakuplu Mahallesi,Konut,3+1,1,5,2. Kat,150,1,1,0,KombiDoğalgaz,760000
821,ev almak gayrimenkulden satılık ,Küçükçekmece, Mehmet Akif Mahallesi,Konut,2+1,11-20,5,Düz Giriş,85,1,1,0,KombiDoğalgaz,225000
822, ESENYURT PINAR MAH. 1+1 SİTE İÇİNDE SATILIK DAİRE ,Esenyurt, Pınar Mahallesi,Konut,1+1,5-10,24,7. Kat,75,1,1,1,Merkezi(PayÖlçer),240000
823, CAN İNŞAAT'TAN ESENYURT KIRAÇ BATTALGAZİ MAH.  SATILIK 1+1 ,Esenyurt, Battalgazi Mahallesi,Konut,1+1,4,5,Yüksek Giriş,70,1,1,0,KombiDoğalgaz,195000
824,FATİH KOCAMUSTAFAPASA MERKEZDE SATILIK YARI BODRUM DAIRE,Fatih, Sümbül Efendi Mahallesi,Konut,2+1,20,5,Yarı Bodrum,80,1,1,0,KombiDoğalgaz,180000
825,ESENYURT PINAR MAH. 1+1 SATILIK DAİRE,Esenyurt, Pınar Mahallesi,Konut,1+1,5-10,24,3. Kat,75,1,1,1,Merkezi(PayÖlçer),240000
826,Bahçelievler Şirinevler Mah.'de 2+1 Satılık Daire...,Bahçelievler, Şirinevler Mahallesi,Konut,3+1,5-10,5,4. Kat,120,1,1,0,KombiDoğalgaz,850000
827,Sahibinden Esenyurt PİRİ REİS MAH SİTE İÇİNDE 1+1 SATILIK,Esenyurt, Piri Reis Mahallesi,Konut,1+1,0,15,2. Kat,70,1,1,0,KombiDoğalgaz,285000
828,SATILIK KELEPİR GİRİŞ DAİRE TAPULU,Kağıthane, Çağlayan Mahallesi,Konut,1+1,11-20,3,Düz Giriş,50,1,1,0,Sobalı,130000
829,Bayrampaşa da sahibinden satılık daire,Bayrampaşa, Orta Mahallesi,Konut,2+1,5-10,3,2. Kat,100,1,2,0,KatKaloriferi,585000
830,Esen Emalk'tan B.Kartaltepe de uygun bahçe katı daire..,Bakırköy, Kartaltepe Mahallesi,Konut,2+1,20,9,Bahçe Katı,85,1,1,0,MerkeziDoğalgaz,320000
831,Ataşehir İçerenköyde sıfır binada sıfır daireler,Ataşehir, İçerenköy Mahallesi,Konut,2+1,0,6,3. Kat,95,1,1,0,KombiDoğalgaz,645000
832, Ümraniye N.Kemalde 3+1 Satılık 125M Sıfır 5 .Kat Daire No:346,Ümraniye, Namık Kemal Mahallesi,Konut,3+1,0,6,5. Kat,125,2,1,0,KombiDoğalgaz,1050000
833,Sahibinden SAHIBINDEN SATILIK KREDIYE UYGUN DAIRE,Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,2+1,20,4,2. Kat,90,1,1,0,KombiDoğalgaz,385000
834,Sahibinden Göztepe de izzet beltan sokakta akıllı ev,Kadıköy, Göztepe Mahallesi,Konut,3+1,5-10,7,4. Kat,100,1,1,0,KombiDoğalgaz,2550000
835,RESIDENCE FOR SALE IN THE HEARTH OF THE CITY,Kağıthane, Sultan Selim Mahallesi,Konut,2+1,0,14,2. Kat,80,1,1,0,KombiDoğalgaz,990000
836, ESENYURT GENİŞ KULLANIMLI İÇ DEKORASYONLU SATILIK 2+1 DAİRE,Esenyurt, Necip Fazıl Kısakürek Mahallesi,Konut,2+1,4,5,1. Kat,110,1,1,0,KombiDoğalgaz,300000
837, Bahçelievler E-5 İncirli Metrobüs durağına  yakın 2+1 Yeni bina,Bahçelievler, Bahçelievler Mahallesi,Konut,2+1,2,4,1. Kat,85,2,1,0,KombiDoğalgaz,1500000
838, REALTY WORLD BT ACİL SATILIK 2+1 DAİRE,Sultanbeyli, Mecidiye Mahallesi,Konut,2+1,4,7,3. Kat,95,1,0,0,KombiDoğalgaz,400000
839,SERKAN YANDIK NATAMAM SİTENİN SON DAİRESİ DİLEDİĞİN GİBİ DÖŞE,Pendik, Harmandere Mahallesi,Konut,3+1,11-20,9,4. Kat,125,2,1,0,KombiDoğalgaz,589000
840, BAHÇELİEVLER CUMHURİYET MAH 3+1 DUBLEX DAİRE,Bahçelievler, Cumhuriyet Mahallesi,Konut,3+1,5-10,4,4. Kat,150,1,1,0,KombiDoğalgaz,560000
841, AİL APARTMANINDA 2+1 FIRSAT DAİREYİ REAL YAPI'DA BULABİLİRSİNİZ ,Esenyurt, Mehterçeşme Mahallesi,Konut,2+1,0,5,1. Kat,113,1,2,0,KombiDoğalgaz,172000
842,ÇEKMEKÖY TAŞDELEN SOĞUKPINAR MH ANA CADDEYE ÇOK YAKIN SIFIR DAİR,Çekmeköy, Soğukpınar Mahallesi,Konut,2+1,0,5,1. Kat,88,2,1,0,KombiDoğalgaz,475000
843,KAZASKERDE MİNİBÜSE YAKIN SATILIK BALKONLU GÜVENLİKLİ 3+1 DAİRE,Kadıköy, 19 Mayıs Mahallesi,Konut,3+1,20,15,4. Kat,205,2,1,0,KombiDoğalgaz,2470000
844,CTY CENTER AVM YANI ZAFER MAHALLESİNDE 2+1 100 M2 SATILIK ARAKAT,Esenyurt, Zafer Mahallesi,Konut,2+1,0,6,4. Kat,100,1,1,0,KombiDoğalgaz,465000
845,NECİP FAZIL DA 2+1 100M2 İÇİ YAPILI DEKORLU TEMİZ SATILIK ARAKAT,Esenyurt, Necip Fazıl Kısakürek Mahallesi,Konut,2+1,0,6,3. Kat,100,1,1,0,KombiDoğalgaz,300000
846,EUROPA'DAN ACİL NEWİSTA RESIDENCE SATILIK 2+1 PEYSAJ CEPHE,Esenyurt, Cumhuriyet Mahallesi,Konut,2+1,5-10,30,1. Kat,115,2,1,0,Merkezi(PayÖlçer),770000
847,EUROPADAN NEWİSTA RESIDENCE CADDE CEPHE FULL EŞYALI DAİRE,Esenyurt, Cumhuriyet Mahallesi,Konut,1+1,5-10,11,10. Kat,75,1,1,0,Merkezi(PayÖlçer),605000
848,TURYAP TAÇTAN BUTİK SİTEDE SATILIK GENİŞ 3+2 DUBLEKS,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+2,2,7,7. Kat,310,3,1,0,Merkezi(PayÖlçer),2600000
849, SAHİL KONAKLARI 4+1 DENİZ MANZARALI 193 m² SATILIK DAİRE,Pendik, Batı Mahallesi,Konut,4+1,2,14,5. Kat,193,3,2,0,Merkezi(PayÖlçer),2830000
850, Küçükyalı Çınar Müstakil Bahçeli Ön Cephe 3+1 Satılık Daire,Maltepe, Çınar Mahallesi,Konut,3+1,11-20,4,Düz Giriş,115,1,1,0,KombiDoğalgaz,835000
851, DÖNÜŞÜM'DEN BU FIRSATI KAÇIRMA!KATTA TEK DAİRELER...,Pendik, Ahmet Yesevi Mahallesi,Konut,2+1,0,5,2. Kat,85,1,1,0,KombiDoğalgaz,375000
852,BEYOĞLU EFE EMLAK SATILIK 2+1 DAİRE H.AHMET MAH.BEYOĞLU İST.,Beyoğlu, Hacıahmet Mahallesi,Konut,2+1,20,4,3. Kat,90,1,1,0,KombiDoğalgaz,390000
853, ÇEVREM'den YEŞİLOVA'da SÜPER KONUMLU 2+1 90m² 6.KAT DAİRE,Küçükçekmece, Yeşilova Mahallesi,Konut,2+1,20,6,6. Kat,90,1,2,0,KombiDoğalgaz,280000
854,"WEAL WORLD' den Bahçelinizam da, 3+1, Arakat, 175 m2, Lüks Daire ",Bahçelievler, Bahçelievler Mahallesi,Konut,3+1,20,4,3. Kat,175,2,2,0,KombiDoğalgaz,1925000
855,"ACİL SATILIK CADDEYE 1 SOKAK MARKET, OKUL KONUMUNDA",Sancaktepe, Safa Mahallesi,Konut,2+1,3,4,Yüksek Giriş,125,1,1,0,KombiDoğalgaz,268000
856," DÖNÜŞÜM'DEN FIRSAT! MERKEZİ KONUMDA 240 M2, 5+2 DUBLEKS DAİRE",Pendik, Velibaba Mahallesi,Konut,5+2,1,5,5. Kat,240,2,3,0,KombiDoğalgaz,725000
857, Güngören Haznedar Mah 3+1 130m2 1.Kat Asansörlü Satılık Daire,Güngören, Haznedar Mahallesi,Konut,3+1,20,5,1. Kat,130,1,1,0,KombiDoğalgaz,650000
858, Silivri Yenimahalle de Krediye Uygun 125m² 3+1 Satılık Daire,Silivri, Yeni Mahallesi,Konut,3+1,20,6,3. Kat,135,1,1,0,KombiDoğalgaz,365000
